InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
540891,22752,SET 7 BABUSHKA NESTING BOXES,25,05/23/2011 00:00,7.65,12780.0,United Kingdom
536481,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/02/2011 00:00,2.55,12363.0,United Kingdom
541724,71053,WHITE METAL LANTERN,1,02/14/2011 00:00,3.39,12864.0,United Kingdom
543576,22633,HAND WARMER UNION JACK,19,10/12/2011 00:00,1.85,13038.0,United Kingdom
541718,22752,SET 7 BABUSHKA NESTING BOXES,11,09/29/2011 00:00,7.65,12864.0,United Kingdom
543843,22138,BAKING SET 9 PIECE RETROSPOT,13,05/22/2011 00:00,4.95,13068.0,Germany
537352,21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,02/09/2011 00:00,4.25,12444.0,United Kingdom
539493,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,11/07/2011 00:00,2.55,12632.0,United Kingdom
538253,21754,HOME BUILDING BLOCK WORD,4,09/01/2011 00:00,5.95,12538.0,United Kingdom
538421,22138,BAKING SET 9 PIECE RETROSPOT,17,11/23/2011 00:00,4.95,12551.0,United Kingdom
544044,71053,WHITE METAL LANTERN,19,10/22/2011 00:00,3.39,13077.0,United Kingdom
540632,21754,HOME BUILDING BLOCK WORD,25,04/18/2011 00:00,5.95,12767.0,United Kingdom
543326,84029E,RED WOOLLY HOTTIE WHITE HEART,18,09/15/2011 00:00,3.75,13008.0,United Kingdom
538927,22633,HAND WARMER UNION JACK,5,09/26/2011 00:00,1.85,12599.0,United Kingdom
545129,22138,BAKING SET 9 PIECE RETROSPOT,7,03/31/2011 00:00,4.95,13140.0,United Kingdom
536430,21730,GLASS STAR FROSTED T-LIGHT HOLDER,18,06/30/2011 00:00,4.25,12354.0,United Kingdom
543798,22633,HAND WARMER UNION JACK,22,07/26/2011 00:00,1.85,13068.0,Germany
537947,22138,BAKING SET 9 PIECE RETROSPOT,5,12/10/2010 00:00,4.95,12507.0,United Kingdom
543409,21730,GLASS STAR FROSTED T-LIGHT HOLDER,7,11/05/2011 00:00,4.25,13023.0,United Kingdom
540760,22961,JAM MAKING SET PRINTED,15,05/29/2011 00:00,4.25,12772.0,United Kingdom
538505,84029E,RED WOOLLY HOTTIE WHITE HEART,6,03/08/2011 00:00,3.75,12558.0,United Kingdom
542013,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,02/10/2011 00:00,2.55,12892.0,United Kingdom
536595,21730,GLASS STAR FROSTED T-LIGHT HOLDER,20,04/16/2011 00:00,4.25,12373.0,United Kingdom
539699,22961,JAM MAKING SET PRINTED,2,01/15/2011 00:00,4.25,12658.0,United Kingdom
544506,22633,HAND WARMER UNION JACK,2,06/27/2011 00:00,1.85,13107.0,United Kingdom
540278,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,03/23/2011 00:00,4.25,12740.0,Netherlands
540122,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,10/26/2011 00:00,2.55,12720.0,United Kingdom
544505,84029E,RED WOOLLY HOTTIE WHITE HEART,8,08/19/2011 00:00,3.75,13107.0,United Kingdom
543001,22633,HAND WARMER UNION JACK,13,06/12/2011 00:00,1.85,12980.0,United Kingdom
540714,22138,BAKING SET 9 PIECE RETROSPOT,2,03/19/2011 00:00,4.95,12768.0,United Kingdom
543022,84029E,RED WOOLLY HOTTIE WHITE HEART,12,11/14/2011 00:00,3.75,12981.0,Portugal
544945,71053,WHITE METAL LANTERN,13,03/24/2011 00:00,3.39,13120.0,France
544874,21754,HOME BUILDING BLOCK WORD,9,03/12/2011 00:00,5.95,13120.0,France
536917,22633,HAND WARMER UNION JACK,9,03/23/2011 00:00,1.85,12410.0,United Kingdom
537083,84029E,RED WOOLLY HOTTIE WHITE HEART,10,12/23/2010 00:00,3.75,12428.0,United Kingdom
538198,84406B,CREAM CUPID HEARTS COAT HANGER,13,04/06/2011 00:00,2.75,12533.0,France
539751,84029E,RED WOOLLY HOTTIE WHITE HEART,3,12/22/2010 00:00,3.75,12667.0,United Kingdom
543271,71053,WHITE METAL LANTERN,9,11/27/2011 00:00,3.39,12999.0,United Kingdom
539722,71053,WHITE METAL LANTERN,4,09/20/2011 00:00,3.39,12659.0,United Kingdom
542287,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,02/28/2011 00:00,4.25,12910.0,United Kingdom
542686,21754,HOME BUILDING BLOCK WORD,8,10/14/2011 00:00,5.95,12956.0,United Kingdom
541210,21754,HOME BUILDING BLOCK WORD,9,01/03/2011 00:00,5.95,12811.0,United Kingdom
540056,22752,SET 7 BABUSHKA NESTING BOXES,8,06/13/2011 00:00,7.65,12709.0,United Kingdom
539530,22961,JAM MAKING SET PRINTED,6,09/09/2011 00:00,4.25,12635.0,Germany
540707,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,06/25/2011 00:00,2.55,12768.0,United Kingdom
540448,71053,WHITE METAL LANTERN,2,09/03/2011 00:00,3.39,12760.0,Netherlands
541377,71053,WHITE METAL LANTERN,20,11/19/2011 00:00,3.39,12830.0,France
536989,22752,SET 7 BABUSHKA NESTING BOXES,14,05/20/2011 00:00,7.65,12416.0,United Kingdom
536857,22752,SET 7 BABUSHKA NESTING BOXES,9,01/21/2011 00:00,7.65,12398.0,United Kingdom
538388,22633,HAND WARMER UNION JACK,7,11/25/2011 00:00,1.85,12550.0,United Kingdom
539775,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,09/22/2011 00:00,4.25,12674.0,United Kingdom
536832,21730,GLASS STAR FROSTED T-LIGHT HOLDER,21,04/26/2011 00:00,4.25,12397.0,United Kingdom
541637,22961,JAM MAKING SET PRINTED,12,10/15/2011 00:00,4.25,12858.0,United Kingdom
543165,21754,HOME BUILDING BLOCK WORD,1,05/24/2011 00:00,5.95,12992.0,United Kingdom
543887,21730,GLASS STAR FROSTED T-LIGHT HOLDER,22,09/16/2011 00:00,4.25,13071.0,United Kingdom
538624,71053,WHITE METAL LANTERN,24,04/08/2011 00:00,3.39,12572.0,United Kingdom
543250,22961,JAM MAKING SET PRINTED,29,06/07/2011 00:00,4.25,12995.0,United Kingdom
539790,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,05/16/2011 00:00,4.25,12677.0,United Kingdom
543251,71053,WHITE METAL LANTERN,21,02/24/2011 00:00,3.39,12995.0,United Kingdom
542262,22961,JAM MAKING SET PRINTED,2,08/17/2011 00:00,4.25,12907.0,United Kingdom
538694,21730,GLASS STAR FROSTED T-LIGHT HOLDER,10,04/06/2011 00:00,4.25,12574.0,Spain
538220,22961,JAM MAKING SET PRINTED,26,07/14/2011 00:00,4.25,12537.0,United Kingdom
542857,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,07/23/2011 00:00,2.55,12973.0,United Kingdom
541756,84406B,CREAM CUPID HEARTS COAT HANGER,2,11/09/2011 00:00,2.75,12868.0,United Kingdom
537938,22138,BAKING SET 9 PIECE RETROSPOT,11,05/17/2011 00:00,4.95,12506.0,United Kingdom
539125,22138,BAKING SET 9 PIECE RETROSPOT,5,09/06/2011 00:00,4.95,12614.0,United Kingdom
544247,84029E,RED WOOLLY HOTTIE WHITE HEART,1,10/08/2011 00:00,3.75,13089.0,United Kingdom
542930,22961,JAM MAKING SET PRINTED,31,12/05/2011 00:00,4.25,12980.0,United Kingdom
542792,22752,SET 7 BABUSHKA NESTING BOXES,16,06/20/2011 00:00,7.65,12965.0,United Kingdom
537356,21754,HOME BUILDING BLOCK WORD,9,01/02/2011 00:00,5.95,12445.0,United Kingdom
538757,22633,HAND WARMER UNION JACK,3,05/07/2011 00:00,1.85,12579.0,United Kingdom
538061,22752,SET 7 BABUSHKA NESTING BOXES,8,09/17/2011 00:00,7.65,12520.0,United Kingdom
540921,71053,WHITE METAL LANTERN,8,11/19/2011 00:00,3.39,12781.0,United Kingdom
543721,84029E,RED WOOLLY HOTTIE WHITE HEART,32,10/07/2011 00:00,3.75,13063.0,United Kingdom
539793,22752,SET 7 BABUSHKA NESTING BOXES,6,05/16/2011 00:00,7.65,12677.0,United Kingdom
C545579,71053,WHITE METAL LANTERN,-4,02/24/2011 00:00,3.39,12662.0,Germany
538226,84029E,RED WOOLLY HOTTIE WHITE HEART,19,02/19/2011 00:00,3.75,12537.0,United Kingdom
539219,22633,HAND WARMER UNION JACK,14,04/13/2011 00:00,1.85,12616.0,United Kingdom
539155,21730,GLASS STAR FROSTED T-LIGHT HOLDER,10,02/22/2011 00:00,4.25,12615.0,United Kingdom
541949,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,08/06/2011 00:00,2.55,12883.0,United Kingdom
542679,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,10/17/2011 00:00,2.55,12953.0,United Kingdom
536823,22633,HAND WARMER UNION JACK,22,05/27/2011 00:00,1.85,12397.0,United Kingdom
537062,84406B,CREAM CUPID HEARTS COAT HANGER,6,03/27/2011 00:00,2.75,12423.0,United Kingdom
542550,71053,WHITE METAL LANTERN,2,01/08/2011 00:00,3.39,12939.0,United Kingdom
541503,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,06/04/2011 00:00,4.25,12837.0,United Kingdom
537017,22138,BAKING SET 9 PIECE RETROSPOT,10,03/01/2011 00:00,4.95,12419.0,United Kingdom
543038,71053,WHITE METAL LANTERN,5,04/13/2011 00:00,3.39,12986.0,United Kingdom
543818,21754,HOME BUILDING BLOCK WORD,7,10/18/2011 00:00,5.95,13068.0,Germany
542548,84406B,CREAM CUPID HEARTS COAT HANGER,6,07/22/2011 00:00,2.75,12939.0,United Kingdom
540332,84029E,RED WOOLLY HOTTIE WHITE HEART,7,04/09/2011 00:00,3.75,12744.0,United Kingdom
538048,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,01/15/2011 00:00,2.55,12515.0,United Kingdom
541117,22138,BAKING SET 9 PIECE RETROSPOT,2,06/16/2011 00:00,4.95,12796.0,United Kingdom
539408,84406B,CREAM CUPID HEARTS COAT HANGER,1,09/18/2011 00:00,2.75,12629.0,United Kingdom
539802,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,06/11/2011 00:00,4.25,12677.0,United Kingdom
536780,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,02/17/2011 00:00,2.55,12396.0,United Kingdom
543460,21754,HOME BUILDING BLOCK WORD,10,11/15/2011 00:00,5.95,13027.0,United Kingdom
540582,22138,BAKING SET 9 PIECE RETROSPOT,16,01/21/2011 00:00,4.95,12764.0,United Kingdom
539021,71053,WHITE METAL LANTERN,7,05/26/2011 00:00,3.39,12605.0,United Kingdom
540722,84406B,CREAM CUPID HEARTS COAT HANGER,8,04/17/2011 00:00,2.75,12768.0,United Kingdom
541156,84406B,CREAM CUPID HEARTS COAT HANGER,7,10/25/2011 00:00,2.75,12801.0,United Kingdom
539165,22961,JAM MAKING SET PRINTED,15,11/08/2011 00:00,4.25,12615.0,United Kingdom
538443,22138,BAKING SET 9 PIECE RETROSPOT,17,05/21/2011 00:00,4.95,12552.0,United Kingdom
541187,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,06/10/2011 00:00,2.55,12807.0,United Kingdom
541076,21754,HOME BUILDING BLOCK WORD,14,02/16/2011 00:00,5.95,12796.0,United Kingdom
538363,71053,WHITE METAL LANTERN,2,09/02/2011 00:00,3.39,12550.0,United Kingdom
538671,84406B,CREAM CUPID HEARTS COAT HANGER,11,05/21/2011 00:00,2.75,12572.0,United Kingdom
540366,22752,SET 7 BABUSHKA NESTING BOXES,19,03/11/2011 00:00,7.65,12749.0,United Kingdom
540851,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,06/12/2011 00:00,2.55,12780.0,United Kingdom
538768,22633,HAND WARMER UNION JACK,5,05/14/2011 00:00,1.85,12583.0,United Kingdom
536892,22633,HAND WARMER UNION JACK,17,04/28/2011 00:00,1.85,12405.0,United Kingdom
540645,22961,JAM MAKING SET PRINTED,9,04/06/2011 00:00,4.25,12767.0,United Kingdom
544319,22961,JAM MAKING SET PRINTED,8,07/02/2011 00:00,4.25,13089.0,United Kingdom
541744,22138,BAKING SET 9 PIECE RETROSPOT,26,11/17/2011 00:00,4.95,12864.0,United Kingdom
537029,22961,JAM MAKING SET PRINTED,15,05/03/2011 00:00,4.25,12419.0,United Kingdom
537877,22633,HAND WARMER UNION JACK,5,02/09/2011 00:00,1.85,12498.0,United Kingdom
541414,22633,HAND WARMER UNION JACK,11,05/29/2011 00:00,1.85,12830.0,France
544183,21754,HOME BUILDING BLOCK WORD,14,02/19/2011 00:00,5.95,13086.0,United Kingdom
541156,22633,HAND WARMER UNION JACK,14,10/25/2011 00:00,1.85,12801.0,United Kingdom
539816,21730,GLASS STAR FROSTED T-LIGHT HOLDER,15,07/16/2011 00:00,4.25,12680.0,United Kingdom
539355,22752,SET 7 BABUSHKA NESTING BOXES,1,06/20/2011 00:00,7.65,12627.0,United Kingdom
540540,21754,HOME BUILDING BLOCK WORD,9,07/29/2011 00:00,5.95,12761.0,United Kingdom
544658,84029E,RED WOOLLY HOTTIE WHITE HEART,28,04/07/2011 00:00,3.75,13111.0,United Kingdom
538551,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,06/07/2011 00:00,2.55,12562.0,Spain
540626,22752,SET 7 BABUSHKA NESTING BOXES,14,03/18/2011 00:00,7.65,12767.0,United Kingdom
537717,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,04/13/2011 00:00,2.55,12481.0,United Kingdom
543753,21754,HOME BUILDING BLOCK WORD,9,06/13/2011 00:00,5.95,13066.0,France
536527,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,12/01/2011 00:00,2.55,12371.0,United Kingdom
543341,22138,BAKING SET 9 PIECE RETROSPOT,23,08/27/2011 00:00,4.95,13009.0,France
541682,21754,HOME BUILDING BLOCK WORD,20,02/13/2011 00:00,5.95,12864.0,United Kingdom
539236,71053,WHITE METAL LANTERN,16,05/31/2011 00:00,3.39,12617.0,United Kingdom
537357,22138,BAKING SET 9 PIECE RETROSPOT,4,05/19/2011 00:00,4.95,12446.0,United Kingdom
541488,22633,HAND WARMER UNION JACK,22,02/13/2011 00:00,1.85,12833.0,France
544463,84029E,RED WOOLLY HOTTIE WHITE HEART,11,04/18/2011 00:00,3.75,13104.0,United Kingdom
543539,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,09/24/2011 00:00,2.55,13030.0,United Kingdom
539220,22633,HAND WARMER UNION JACK,25,11/25/2011 00:00,1.85,12617.0,United Kingdom
536605,71053,WHITE METAL LANTERN,27,11/30/2011 00:00,3.39,12374.0,United Kingdom
541619,22138,BAKING SET 9 PIECE RETROSPOT,2,03/12/2011 00:00,4.95,12857.0,United Kingdom
544910,84406B,CREAM CUPID HEARTS COAT HANGER,13,10/12/2011 00:00,2.75,13120.0,France
543892,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,10/27/2011 00:00,2.55,13071.0,United Kingdom
540541,84406B,CREAM CUPID HEARTS COAT HANGER,11,06/02/2011 00:00,2.75,12761.0,United Kingdom
537775,21730,GLASS STAR FROSTED T-LIGHT HOLDER,7,08/29/2011 00:00,4.25,12490.0,United Kingdom
544400,84029E,RED WOOLLY HOTTIE WHITE HEART,10,05/03/2011 00:00,3.75,13099.0,United Kingdom
544909,84406B,CREAM CUPID HEARTS COAT HANGER,10,09/05/2011 00:00,2.75,13120.0,France
542969,21754,HOME BUILDING BLOCK WORD,16,11/09/2011 00:00,5.95,12980.0,United Kingdom
541672,22633,HAND WARMER UNION JACK,7,11/12/2011 00:00,1.85,12862.0,United Kingdom
539316,22138,BAKING SET 9 PIECE RETROSPOT,30,10/19/2011 00:00,4.95,12626.0,United Kingdom
542765,22138,BAKING SET 9 PIECE RETROSPOT,12,05/03/2011 00:00,4.95,12965.0,United Kingdom
540820,21754,HOME BUILDING BLOCK WORD,19,07/04/2011 00:00,5.95,12780.0,United Kingdom
537828,22138,BAKING SET 9 PIECE RETROSPOT,11,11/04/2011 00:00,4.95,12495.0,Germany
544395,21754,HOME BUILDING BLOCK WORD,9,04/03/2011 00:00,5.95,13099.0,United Kingdom
540873,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,04/22/2011 00:00,2.55,12780.0,United Kingdom
543231,22138,BAKING SET 9 PIECE RETROSPOT,5,05/28/2011 00:00,4.95,12995.0,United Kingdom
541556,84406B,CREAM CUPID HEARTS COAT HANGER,4,01/30/2011 00:00,2.75,12852.0,United Kingdom
536446,22633,HAND WARMER UNION JACK,4,10/23/2011 00:00,1.85,12356.0,United Kingdom
541695,22633,HAND WARMER UNION JACK,7,04/22/2011 00:00,1.85,12864.0,United Kingdom
543912,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,06/06/2011 00:00,2.55,13071.0,United Kingdom
542185,21754,HOME BUILDING BLOCK WORD,4,05/29/2011 00:00,5.95,12901.0,United Kingdom
539826,84406B,CREAM CUPID HEARTS COAT HANGER,18,05/04/2011 00:00,2.75,12680.0,United Kingdom
542329,22961,JAM MAKING SET PRINTED,9,01/20/2011 00:00,4.25,12917.0,United Kingdom
542537,71053,WHITE METAL LANTERN,10,02/19/2011 00:00,3.39,12936.0,United Kingdom
544826,84029E,RED WOOLLY HOTTIE WHITE HEART,8,09/21/2011 00:00,3.75,13115.0,United Kingdom
541943,84406B,CREAM CUPID HEARTS COAT HANGER,8,08/30/2011 00:00,2.75,12882.0,United Kingdom
540952,22752,SET 7 BABUSHKA NESTING BOXES,22,04/05/2011 00:00,7.65,12782.0,Netherlands
536912,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,05/12/2011 00:00,4.25,12409.0,United Kingdom
536471,71053,WHITE METAL LANTERN,29,06/05/2011 00:00,3.39,12361.0,United Kingdom
541172,21754,HOME BUILDING BLOCK WORD,9,02/26/2011 00:00,5.95,12803.0,United Kingdom
538681,84029E,RED WOOLLY HOTTIE WHITE HEART,4,11/18/2011 00:00,3.75,12572.0,United Kingdom
543968,22961,JAM MAKING SET PRINTED,14,06/07/2011 00:00,4.25,13072.0,United Kingdom
537380,84406B,CREAM CUPID HEARTS COAT HANGER,8,07/22/2011 00:00,2.75,12453.0,United Kingdom
544908,71053,WHITE METAL LANTERN,1,11/21/2011 00:00,3.39,13120.0,France
538955,22752,SET 7 BABUSHKA NESTING BOXES,2,11/14/2011 00:00,7.65,12600.0,Netherlands
538047,22961,JAM MAKING SET PRINTED,6,09/21/2011 00:00,4.25,12514.0,United Kingdom
542712,22752,SET 7 BABUSHKA NESTING BOXES,7,11/07/2011 00:00,7.65,12964.0,United Kingdom
536874,22752,SET 7 BABUSHKA NESTING BOXES,11,09/17/2011 00:00,7.65,12403.0,United Kingdom
542396,22752,SET 7 BABUSHKA NESTING BOXES,11,02/19/2011 00:00,7.65,12928.0,United Kingdom
536788,22633,HAND WARMER UNION JACK,10,04/10/2011 00:00,1.85,12396.0,United Kingdom
541372,84406B,CREAM CUPID HEARTS COAT HANGER,15,12/08/2011 00:00,2.75,12830.0,France
542137,22961,JAM MAKING SET PRINTED,25,08/08/2011 00:00,4.25,12900.0,United Kingdom
539620,22138,BAKING SET 9 PIECE RETROSPOT,9,11/02/2011 00:00,4.95,12648.0,Netherlands
540758,22752,SET 7 BABUSHKA NESTING BOXES,10,07/06/2011 00:00,7.65,12772.0,United Kingdom
539416,22752,SET 7 BABUSHKA NESTING BOXES,9,06/16/2011 00:00,7.65,12630.0,United Kingdom
538281,22961,JAM MAKING SET PRINTED,4,02/19/2011 00:00,4.25,12541.0,United Kingdom
538498,22633,HAND WARMER UNION JACK,10,08/09/2011 00:00,1.85,12557.0,United Kingdom
539632,22752,SET 7 BABUSHKA NESTING BOXES,3,10/21/2011 00:00,7.65,12649.0,United Kingdom
544010,84029E,RED WOOLLY HOTTIE WHITE HEART,7,02/03/2011 00:00,3.75,13074.0,United Kingdom
538013,21754,HOME BUILDING BLOCK WORD,21,08/20/2011 00:00,5.95,12509.0,United Kingdom
543015,22752,SET 7 BABUSHKA NESTING BOXES,7,04/14/2011 00:00,7.65,12981.0,Portugal
541378,84406B,CREAM CUPID HEARTS COAT HANGER,1,02/17/2011 00:00,2.75,12830.0,France
543614,84029E,RED WOOLLY HOTTIE WHITE HEART,6,10/15/2011 00:00,3.75,13044.0,United Kingdom
541632,84029E,RED WOOLLY HOTTIE WHITE HEART,13,02/20/2011 00:00,3.75,12858.0,United Kingdom
538574,22961,JAM MAKING SET PRINTED,8,01/19/2011 00:00,4.25,12564.0,United Kingdom
544893,84029E,RED WOOLLY HOTTIE WHITE HEART,22,06/26/2011 00:00,3.75,13120.0,France
544381,21754,HOME BUILDING BLOCK WORD,12,01/23/2011 00:00,5.95,13098.0,Germany
540351,21730,GLASS STAR FROSTED T-LIGHT HOLDER,15,06/07/2011 00:00,4.25,12749.0,United Kingdom
538298,22138,BAKING SET 9 PIECE RETROSPOT,3,01/07/2011 00:00,4.95,12543.0,United Kingdom
539779,71053,WHITE METAL LANTERN,5,09/17/2011 00:00,3.39,12675.0,United Kingdom
537762,84029E,RED WOOLLY HOTTIE WHITE HEART,1,10/25/2011 00:00,3.75,12487.0,United Kingdom
541456,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,01/29/2011 00:00,4.25,12832.0,United Kingdom
541660,71053,WHITE METAL LANTERN,10,04/17/2011 00:00,3.39,12861.0,United Kingdom
544585,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,05/30/2011 00:00,2.55,13108.0,United Kingdom
539108,22633,HAND WARMER UNION JACK,9,02/27/2011 00:00,1.85,12613.0,United Kingdom
541458,21730,GLASS STAR FROSTED T-LIGHT HOLDER,7,02/26/2011 00:00,4.25,12833.0,France
540927,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,08/18/2011 00:00,2.55,12782.0,Netherlands
539445,22633,HAND WARMER UNION JACK,15,09/19/2011 00:00,1.85,12632.0,United Kingdom
537886,21730,GLASS STAR FROSTED T-LIGHT HOLDER,7,03/12/2011 00:00,4.25,12499.0,Netherlands
545163,22961,JAM MAKING SET PRINTED,15,10/03/2011 00:00,4.25,13140.0,United Kingdom
537026,84029E,RED WOOLLY HOTTIE WHITE HEART,8,05/19/2011 00:00,3.75,12419.0,United Kingdom
545212,84406B,CREAM CUPID HEARTS COAT HANGER,22,02/24/2011 00:00,2.75,13142.0,France
537978,22752,SET 7 BABUSHKA NESTING BOXES,10,11/15/2011 00:00,7.65,12509.0,United Kingdom
540187,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,01/02/2011 00:00,2.55,12736.0,United Kingdom
544429,21730,GLASS STAR FROSTED T-LIGHT HOLDER,9,11/30/2011 00:00,4.25,13101.0,United Kingdom
537485,22633,HAND WARMER UNION JACK,14,03/08/2011 00:00,1.85,12468.0,United Kingdom
540397,22752,SET 7 BABUSHKA NESTING BOXES,14,09/20/2011 00:00,7.65,12754.0,United Kingdom
542753,22138,BAKING SET 9 PIECE RETROSPOT,12,05/04/2011 00:00,4.95,12965.0,United Kingdom
543786,71053,WHITE METAL LANTERN,13,09/09/2011 00:00,3.39,13068.0,Germany
543513,22752,SET 7 BABUSHKA NESTING BOXES,2,04/22/2011 00:00,7.65,13028.0,United Kingdom
537452,84406B,CREAM CUPID HEARTS COAT HANGER,2,03/08/2011 00:00,2.75,12463.0,United Kingdom
536732,21730,GLASS STAR FROSTED T-LIGHT HOLDER,9,12/09/2010 00:00,4.25,12388.0,United Kingdom
543297,22138,BAKING SET 9 PIECE RETROSPOT,8,10/12/2011 00:00,4.95,13004.0,United Kingdom
538865,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,11/22/2011 00:00,2.55,12588.0,United Kingdom
540015,22961,JAM MAKING SET PRINTED,25,08/01/2011 00:00,4.25,12707.0,United Kingdom
541743,22752,SET 7 BABUSHKA NESTING BOXES,6,04/03/2011 00:00,7.65,12864.0,United Kingdom
542369,22138,BAKING SET 9 PIECE RETROSPOT,10,08/22/2011 00:00,4.95,12928.0,United Kingdom
537810,21754,HOME BUILDING BLOCK WORD,10,04/10/2011 00:00,5.95,12495.0,Germany
539195,84406B,CREAM CUPID HEARTS COAT HANGER,5,02/04/2011 00:00,2.75,12615.0,United Kingdom
538680,84406B,CREAM CUPID HEARTS COAT HANGER,26,05/12/2011 00:00,2.75,12572.0,United Kingdom
542120,84029E,RED WOOLLY HOTTIE WHITE HEART,12,09/15/2011 00:00,3.75,12900.0,United Kingdom
537281,22633,HAND WARMER UNION JACK,10,11/08/2011 00:00,1.85,12439.0,United Kingdom
536931,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,05/24/2011 00:00,2.55,12414.0,United Kingdom
540189,22961,JAM MAKING SET PRINTED,5,05/16/2011 00:00,4.25,12737.0,Portugal
538258,84029E,RED WOOLLY HOTTIE WHITE HEART,11,04/03/2011 00:00,3.75,12539.0,United Kingdom
541938,22633,HAND WARMER UNION JACK,10,10/10/2011 00:00,1.85,12882.0,United Kingdom
537966,22138,BAKING SET 9 PIECE RETROSPOT,26,03/17/2011 00:00,4.95,12509.0,United Kingdom
540558,21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,10/05/2011 00:00,4.25,12762.0,Spain
538830,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,12/02/2011 00:00,2.55,12585.0,United Kingdom
544176,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,06/02/2011 00:00,4.25,13086.0,United Kingdom
